,numberFire_FP,numberFire_CI,Ranks_Ovr.,Ranks_Pos.,Passing_C/A,Passing_Yds,Passing_TDs,Passing_Ints,Rushing_Att,Rushing_Yds,Rushing_TDs,Receiving_Rec,Receiving_Tgt,Receiving_Yds,Receiving_TDs
"Michael Gallup  M. Gallup  (WR, DAL)",123.84,100.44-147.24,#112,#37,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,64.33,113.02,938.64,4.99
"Tyler Boyd  T. Boyd  (WR, CIN)",123.4,100.04-146.76,#113,#38,0.00/0.00,0.0,0.0,0.0,0.31,1.41,0.0,80.68,126.24,916.31,5.42
"DeVonta Smith  D. Smith  (WR, PHI)",123.4,100.04-146.76,#113,#38,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,70.62,118.26,931.92,5.16
"Laviska Shenault  L. Shenault  (WR, JAC)",122.51,99.22-145.8,#115,#40,0.00/0.00,0.0,0.0,0.0,20.64,108.12,0.76,71.29,109.04,784.89,4.91
"Curtis Samuel  C. Samuel  (WR, WSH)",122.45,99.17-145.73,#116,#41,0.00/0.00,0.0,0.0,0.0,8.69,46.76,0.4,67.29,105.44,856.15,4.97
"JuJu Smith-Schuster  J. Smith-Schuster  (WR, PIT)",122.18,98.93-145.43,#117,#42,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,87.89,128.99,841.66,6.63
"Jarvis Landry  J. Landry  (WR, CLE)",120.17,97.09-143.25,#118,#43,0.00/0.00,0.0,0.0,0.0,0.17,0.76,0.0,77.72,124.32,884.87,5.41
"Will Fuller  W. Fuller  (WR, MIA)",119.72,96.53-142.91,#119,#44,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,70.57,108.92,836.54,6.15
"Melvin Gordon  M. Gordon  (RB, DEN)",119.53,96.31-142.75,#120,#34,0.00/0.00,0.0,0.0,0.0,152.46,667.02,6.1,20.83,29.39,136.52,0.91
"Mac Jones  M. Jones  (QB, NE)",117.93,90-145.86,#121,#38,159.09/253.97,1734.37,10.94,7.66,25.98,114.27,1.8,0.0,0.0,0.0,0.0
"DeVante Parker  D. Parker  (WR, MIA)",117.77,94.89-140.65,#122,#45,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,72.67,122.6,836.34,5.77
"Gus Edwards  G. Edwards  (RB, BAL)",115.63,92.72-138.54,#123,#35,0.00/0.00,0.0,0.0,0.0,145.05,678.74,6.02,12.66,17.15,94.57,0.77
